# Constructed from biom file
#OTU ID	ERR1513684	ERR1513701	ERR1513703	ERR1513777	ERR1513870	ERR1513889	ERR1513961	ERR1513964	ERR1513983	ERR1514003
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;__	0.0	0.0	0.0	33.0	0.0	48.0	0.0	0.0	15.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.0	44.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pluralibacter	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	0.0	0.0	122.0	0.0	10.0	7.0	26.0	0.0
k__Bacteria;p__Firmicutes;__;__;__;__	16.0	30.0	8.0	1188.0	166.0	39.0	121.0	589.0	13.0	18.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__[Clostridium]	0.0	21.0	0.0	265.0	20.0	9.0	5.0	36.0	2.0	17.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales;g__Colidextribacter	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Raoultibacter	0.0	0.0	0.0	0.0	78.0	11.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Neglectibacter	3.0	11.0	5.0	9.0	73.0	21.0	16.0	9.0	6.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0.0	26.0	225.0	6.0	326.0	116.0	0.0	101.0	71.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus	0.0	0.0	15.0	5.0	6.0	0.0	17.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Anaerofustis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproiciproducens	0.0	0.0	0.0	0.0	0.0	23.0	7.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0
